Filename;ActivityName;Location;ReferenceProduct
00e6c763-0adf-4b02-bb51-fc5ef52b438a_a514c9f2-0d4d-4ce2-809b-de4c29e74709.spold;market for saw dust, loose, wet, measured as dry mass;GLO;saw dust, loose, wet, measured as dry mass
00ec7434-195b-42b1-96bd-d888f3d3b0fa_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity voltage transformation from high to medium voltage;SN;electricity, medium voltage
00f1ab73-d89d-491f-8f99-4abaae4542b1_2eadbf57-e7eb-48ca-b2ea-e7dbae79391f.spold;furnace production, wood chips, average storage area, 300kW;CH;furnace, wood chips, average storage area, 300kW
00f3364f-a759-40be-9c9f-3878a898ecd1_99ba8208-7a4c-46e7-b4f0-6d93a8332c0b.spold;treatment of spent activated carbon, granular from hard coal, reactivation;RER;activated carbon, granular
00f6202a-1788-496d-83ec-792f98f1c637_24915790-23b1-4900-86ac-3b025be19c06.spold;natural gas venting from petroleum/natural gas production;GLO;natural gas, vented
00f65d20-f593-48ab-b619-3e5701c04729_3ba2c4e1-5133-4a09-aa56-755cb2072dae.spold;reefer production, intermodal shipping container, 40-foot, high-cube, carbon dioxide, liquid as refrigerant;GLO;reefer, intermodal shipping container, 40-foot, high-cube, carbon dioxide, liquid as refrigerant
00f66d58-3de9-4fee-a43e-f6a1333f3de8_3ad50a22-b9bd-4cbc-891d-49bcdad17f6c.spold;continuous dyeing, fibre, cotton;GLO;continuous dyeing, fibre, cotton
00fbfad5-0b8c-4d77-9ff6-d6b3e2b05661_cc0d4252-6207-41d6-8567-bcbad58a7bef.spold;treatment of copper scrap by electrolytic refining;RoW;copper scrap, sorted, pressed
00fbfad5-0b8c-4d77-9ff6-d6b3e2b05661_fbb039f7-f9cc-46d2-b631-313ddb125c1a.spold;treatment of copper scrap by electrolytic refining;RoW;copper
010546e5-17ec-493a-b737-7033774dd669_09c949e6-dd20-40d4-9adb-b46a01366b72.spold;photovoltaic facade installation, 3kWp, single-Si, laminated, integrated, at building;CH;photovoltaic facade installation, 3kWp, single-Si, laminated, integrated, at building
010d08c8-d32c-4ade-ab8a-6937a26ae3ad_026c1068-871f-57e5-8fda-30d989615214.spold;container production, for collection of post-consumer waste plastic for recycling;US;container, for collection of post-consumer waste plastic for recycling
010d08c8-d32c-4ade-ab8a-6937a26ae3ad_d7432632-40dc-4af8-8125-cb70dd9742c5.spold;container production, for collection of post-consumer waste plastic for recycling;US;iron scrap, unsorted
010ea64b-744b-4f0a-bfd2-7d185fae0e30_b41ed270-f3f0-4126-b391-8c9ac9076d3b.spold;transport, freight, sea, tanker for liquid goods other than petroleum and liquefied natural gas;GLO;transport, freight, sea, tanker for liquid goods other than petroleum and liquefied natural gas
0110e40c-0d96-434b-a284-6fd5f6a64225_cee6769c-ac58-45d5-9597-de2569031d74.spold;clinker production;US;waste paint
01117f11-5f57-466c-bc32-c1cf390130d9_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, natural gas, conventional power plant;CA-NT;electricity, high voltage
01165390-94cb-4dad-b49c-cb50ad2e8f25_a09f846f-9ebe-4c3e-aad2-dc411a40a27d.spold;maintenance, solid oxide fuel cell 125kW electrical, future;CH;maintenance, solid oxide fuel cell, 125kW electrical, future
0116a94a-b6bb-41a6-9884-c8c73eca3c5c_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, 1-3MW turbine, onshore;IN-RJ;electricity, high voltage
0116fe38-473c-4a80-a841-bb2df675c956_89c7b45d-490c-4877-8893-e097b0723fc6.spold;harvester production;RoW;harvester
0117b703-6ea8-45a0-83b7-95790d28ecd4_d69294d7-8d64-4915-a896-9996a014c410.spold;market for electricity, low voltage;PE;electricity, low voltage
01186e47-70e9-41f5-9926-042e15e49fdf_6047c525-49b7-4a7d-baf6-a61283e5eda9.spold;treatment of hazardous waste, underground deposit;RoW;hazardous waste, for underground deposit
011ff637-d44c-4aa5-a75f-ca4feccdb189_99847cdd-f818-4da5-ad69-f79c3c7557a5.spold;heavy mineral sand quarry operation;RoW;zircon, 50% zirconium
011ff637-d44c-4aa5-a75f-ca4feccdb189_cad59ac2-7c38-4f39-a477-f142baa4e203.spold;heavy mineral sand quarry operation;RoW;rutile, 95% titanium dioxide
011ff637-d44c-4aa5-a75f-ca4feccdb189_eff0389a-97da-4ce4-9365-1de4291ec8fb.spold;heavy mineral sand quarry operation;RoW;ilmenite, 54% titanium dioxide
01285f52-5e2b-463a-8bec-cf2a083b7c2e_2a1573b0-ab2e-4126-b931-a4c8b240a97c.spold;isohexane production;RER;isohexane
01297c94-66fb-4730-b170-b2aaf52c4f4e_a6088246-5e29-4cad-a15d-ba7a26a7b656.spold;sewer grid construction, 1.6E8l/year, 6 km;RoW;sewer grid, 1.6E8l/year, 6 km
0136a838-562c-4ae6-a589-a24e70711fba_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;irrigation, surface;CN;irrigation
013b8fea-b506-4f28-97b8-086a4928c3b1_9ffca1fd-6373-4acc-ad91-7d9380fa8058.spold;train production, passenger, high speed;RoW;train, passenger, high speed
014ffb0c-0ed2-4766-9b2e-a037a18106a1_9079d3b0-b45a-487f-bc09-640d7065bfe2.spold;furnace production, wood chips, hardwood storage area, 50kW;CH;furnace, wood chips, hardwood storage area, 50kW
01506aa9-5e4d-4145-91b7-90ffcdeba93b_807906d0-f3cb-4a7c-a528-ae497a61bf12.spold;1,1-difluoroethane production, HFC-152a;RoW;1,1-difluoroethane, HFC-152a
01508ffc-90cc-49a1-a25f-b3df7d0d94da_76ab0018-e176-43e0-b42c-12e82b937fef.spold;cement production, sulphate resistant;BR;hard coal ash
0158032d-61de-4d75-b7bb-749d3e8e97fa_6f2eb438-cde2-4d07-a770-d023a988a9c4.spold;treatment of waste wood, untreated, sanitary landfill;CH;waste wood, untreated
01589c9f-ab66-4a13-bded-2d23682645cb_b0176c67-5bc0-462a-8466-4f372f446f7c.spold;market for waste polystyrene;ZA;waste polystyrene
015c85e1-8e3c-4c81-baec-6ccdaafb663e_85e9e1e5-9aaa-48e7-ab3b-7597358317e8.spold;transport, passenger car, EURO 5;RoW;transport, passenger car, EURO 5
015e6b9d-ce86-4b2d-b757-405445911a93_66c93e71-f32b-4591-901c-55395db5c132.spold;market for electricity, high voltage;EE;electricity, high voltage
015f89a8-ab63-4358-a67d-43cc22f1ab3d_5321a299-0c03-4bfc-9dda-d020456f6b2e.spold;diammonium phosphate production;RER;phosphate fertiliser, as P2O5
015f89a8-ab63-4358-a67d-43cc22f1ab3d_f5707bdf-f7e2-479b-b3ea-99c04de8a927.spold;diammonium phosphate production;RER;nitrogen fertiliser, as N
0160839e-b5f6-55b6-9352-74db0dce46b4_63bf19bc-8cbc-4d14-906e-abfa110dbb5f.spold;market for sulfidic tailings, from gold mine operation;AU;sulfidic tailings, from gold mine operation
0165fb6f-d810-40b5-abcc-e4df9ca1ade5_309473ca-5ff1-447a-8739-9ab58de415d6.spold;market for heat and power co-generation unit, organic Rankine cycle, 1000kW electrical;GLO;heat and power co-generation unit, organic Rankine cycle, 1000kW electrical
01678e78-cb3f-4bf0-aaa9-a7e7d80f9aa3_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hard coal;CN-SC;electricity, high voltage
016aea66-3f36-4d13-8832-7344724160cb_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from BR-Southern grid;AR;electricity, high voltage
016b6638-38a3-4918-a971-b43d8a942ea0_fa7f4132-1926-5311-b346-a35b34555d06.spold;cashew production;RoW;cashew
016ce34e-4221-40bb-a26f-e7018957b232_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;market for electricity, medium voltage;IN-Eastern grid;electricity, medium voltage
01774467-df00-48f4-b590-afabcbabd5cc_b1fe9782-ad6b-46e9-b7e3-2895c1a1e506.spold;treatment of used exhaust air valve, in-wall housing, plastic/steel, DN 125;RoW;used exhaust air valve in-wall housing, plastic/steel
017a24dd-3836-4761-9b11-683f3ed9ad93_3c729202-245e-4585-a517-c053ca62f074.spold;market for lean concrete;RoW;lean concrete
017c4edf-1a73-4052-8558-71f7c80dac14_00478901-732f-4bf4-81cc-2255f9874512.spold;market group for waste polypropylene;RER;waste polypropylene
017d03d1-1afc-4ed9-88b4-72d3d081e5d5_fe971074-1d55-46f3-88e1-b5cb56fd6317.spold;market for intral;GLO;intral
017edf30-218e-4642-b6a7-51f7fc993b5f_a130dd45-8367-4e4e-b78d-5901d9259fd0.spold;phosgene production, liquid;RER;phosgene, liquid
01843359-e689-4e9c-b512-ca62867a764c_0dab73c6-b214-4e9c-8c38-ab49d608637b.spold;protein pea production;DE;protein pea
0187b260-5ac6-4bc6-a9ac-b44e01a92d7c_93ee89ba-ff0b-4c4b-a333-af78bda8a9c4.spold;sugar refinery construction;GLO;sugar refinery
018a11dc-950f-4e1d-958f-e59c14947aa9_f93666bf-718f-4f42-b89f-89bcf5b486e9.spold;furnace production, pellet, 15kW;CH;furnace, pellet, 15kW
018d69f0-92ec-40b5-a95b-e6b6f0a1ad0e_84a1e84e-a669-4f4f-83e7-1eef26ab7801.spold;tilapia feed production, commercial;PE;tilapia feed, 24-28% protein
018e160c-3ebd-446d-b12e-d0df64aa3d90_0e99b6e3-a3e1-47a2-8fb5-5ced89ddd778.spold;market for n-olefins;GLO;n-olefins
018f95a0-95f7-4790-aed6-7ebc2e6b82b7_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity production, photovoltaic, 3kWp facade installation, multi-Si, panel, mounted;RoW;electricity, low voltage
0192645a-90cd-4371-810d-cb54c48db5a0_2c05646d-138c-4d6c-a33d-99b8e6194328.spold;steel milling, dressing;RER;steel removed by milling, dressing
0194adc6-8dbb-4b58-8596-c0e394e48d3e_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, pumped storage;CA-NB;electricity, high voltage
